"Name","What is your favorite fruit?","What is your favorite programming language?","How do you get your caffeine?","What is your favorite web browser?","What is your nationality?"
"Sonsing","Date","C#","Coffee","Safari","Black"
"Tempsoft","Star Fruit","Python","Coffee","Internet Explorer","Asian"
"Hatity","Avocado","C++","Coffee","Google Chrome","White"
"Sonsing","Apricot","PHP","Energy Drinks","Firefox","Asian"
"Stim","Blueberry","Ruby","Energy Drinks","Internet Explorer","Biracial/Multiracial"
"Prodder","Date","C#","Soda","Safari","Black"
"Cardguard","Blueberry","Java","Coffee","Other","Asian"
"Andalax","Date","C++","Black Tea","Firefox","Native American"
"Mat Lam Tam","Apricot","Python","Espresso","Safari","Biracial/Multiracial"
"Job","Star Fruit","Python","Coffee","Chromium","Biracial/Multiracial"
"Daltfresh","Apricot","C#","Coffee","Microsoft Edge","White"
"Opela","Avocado","HTML","Coffee","Other","Hispanic/Latino"
"Opela","Plum","HTML","Coffee","Google Chrome","White"
"Matsoft","Date","Java","Coffee","Google Chrome","White"
"Andalax","Pineapple","Java","Energy Drinks","Google Chrome","Asian"
"Stronghold","Nectarine","Python","Other","Other","Black"
"Ventosanzap","Nectarine","Python","Espresso","Internet Explorer","Black"
"Sub-Ex","Apricot","Python","Energy Drinks","Other","Biracial/Multiracial"
"Ventosanzap","Grapefruit","Python","Green Tea","Microsoft Edge","White"
"Tin","Apricot","PHP","Other","Firefox","Hispanic/Latino"
"Greenlam","Date","C","Black Tea","Firefox","Native Hawaiian/Pacific Islander"
"It","Star Fruit","C++","Green Tea","Google Chrome","Black"
"Bytecard","Avocado","Java","I avoid caffeine","Google Chrome","Hispanic/Latino"
"Span","Blueberry","Python","Energy Drinks","Google Chrome","White"
"Gembucket","Star Fruit","C++","Black Tea","Microsoft Edge","Native American"
"Ronstring","Pineapple","HTML","Coffee","Google Chrome","Hispanic/Latino"
"Hatity","Fig","C#","Other","Google Chrome","Asian"
"Hatity","Star Fruit","PHP","I avoid caffeine","Google Chrome","White"
"Tin","Lemon","Python","Coffee","Google Chrome","White"
"Cardify","Avocado","C","Coffee","Google Chrome","Hispanic/Latino"
"Rank","Apricot","HTML","Green Tea","Google Chrome","Native Hawaiian/Pacific Islander"
"Konklab","Pineapple","Python","Black Tea","Chromium","White"
"Stim","Apricot","JavaScript","I avoid caffeine","Chromium","White"
"Holdlamis","Pineapple","JavaScript","Soda","Firefox","White"
"Bigtax","Apricot","Java","Other","Opera","White"
"Trippledex","Avocado","Python","Green Tea","Microsoft Edge","White"
"Konklux","Fig","C++","Black Tea","Internet Explorer","Hispanic/Latino"
"Home Ing","Blueberry","C","Energy Drinks","Opera","Asian"
"Job","Lemon","Java","Espresso","Internet Explorer","Hispanic/Latino"
"Stronghold","Apricot","C++","Espresso","Microsoft Edge","Native Hawaiian/Pacific Islander"
"Otcom","Date","JavaScript","I avoid caffeine","Other","Biracial/Multiracial"
"Temp","Grapefruit","Java","Energy Drinks","Google Chrome","White"
"Voltsillam","Banana","C#","I avoid caffeine","Google Chrome","Hispanic/Latino"
"Job","Avocado","HTML","Black Tea","Google Chrome","Hispanic/Latino"
"Tresom","Pineapple","Python","I avoid caffeine","Google Chrome","Native Hawaiian/Pacific Islander"
"Zoolab","Date","PHP","Coffee","Microsoft Edge","Black"
"Lotlux","Date","PHP","Energy Drinks","Opera","Black"
"Latlux","Apricot","PHP","I avoid caffeine","Chromium","Native American"
"Voltsillam","Star Fruit","Ruby","Espresso","Safari","Native American"
"Tresom","Strawberry","Ruby","Coffee","Opera","Black"
